show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,min_duration,seasons,content_age,content_segment,audience_segment,release_lag,movie_id,metadata,era,genre_count,cast_count
s664,Movie,Babes in Toyland,Jack Donohue,"Ray Bolger, Tommy Sands, Annette Funicello, Ed Wynn, Tommy Kirk, Kevin Corcoran",United States,2019-11-12,1961,TV-PG,106 min,"Family, Fantasy, Musical",Villainous Barnaby tries to spoil Tom Piper and Mary Contrary's wedding.,2019,11,106,,60,Legacy,Teen,58,664,"Family, Fantasy, Musical Jack Donohue Ray Bolger, Tommy Sands, Annette Funicello, Ed Wynn, Tommy Kirk, Kevin Corcoran United States Villainous Barnaby tries to spoil Tom Piper and Mary Contrary's wedding.",Classic,3,6
s665,Movie,Bambi,David Hand,,United States,2019-11-12,1942,G,72 min,"Animation, Drama, Family",Bambi sets off with his best friends to explore the wonders of the woods.,2019,11,72,,79,Legacy,Kids,77,665,"Animation, Drama, Family David Hand  United States Bambi sets off with his best friends to explore the wonders of the woods.",Classic,3,1
s666,Movie,Bambi II,Brian Pimental,"Patrick Stewart, Alexander Gould, Keith Ferguson, Brendon Baerg, Nicky Jones, Andrea Bowen",United States,2019-11-12,2006,G,75 min,"Animation, Drama, Kids","Bambi reunites with his father, The Great Prince.",2019,11,75,,15,Legacy,Kids,13,666,"Animation, Drama, Kids Brian Pimental Patrick Stewart, Alexander Gould, Keith Ferguson, Brendon Baerg, Nicky Jones, Andrea Bowen United States Bambi reunites with his father, The Great Prince.",Modern,3,6
s667,Movie,Bao,Domee Shi,,"United States, Canada",2019-11-12,2018,G,8 min,"Animation, Family, Fantasy",A Chinese mom’s life changes when her dumpling comes alive.,2019,11,8,,3,Recent,Kids,1,667,"Animation, Family, Fantasy Domee Shi  United States, Canada A Chinese mom’s life changes when her dumpling comes alive.",Recent,3,1
s668,Movie,Beach Picnic,Clyde Geronimi,,United States,2019-11-12,1939,TV-G,9 min,"Animation, Comedy, Family",Donald Duck and Pluto are at the beach. See details for advisory.,2019,11,9,,82,Legacy,Family,80,668,"Animation, Comedy, Family Clyde Geronimi  United States Donald Duck and Pluto are at the beach. See details for advisory.",Classic,3,1
s669,Movie,Bearly Asleep,Jack Hannah,,United States,2019-11-12,1955,TV-PG,7 min,"Animation, Comedy, Family",Donald Duck is a ranger and puts the bears to sleep for the winter. See details for advisory.,2019,11,7,,66,Legacy,Teen,64,669,"Animation, Comedy, Family Jack Hannah  United States Donald Duck is a ranger and puts the bears to sleep for the winter. See details for advisory.",Classic,3,1
s670,Movie,Beauty and the Beast: Belle's Magical World,Bob Kline,"Robby Benson, Paige O'Hara, David Stiers, Jerry Orbach, Jeff Bennett, Jim Cummings",United States,2019-11-12,1998,G,71 min,"Animation, Anthology, Fantasy","In three short stories, see Belle make a gloomy castle fit for a princess.",2019,11,71,,23,Legacy,Kids,21,670,"Animation, Anthology, Fantasy Bob Kline Robby Benson, Paige O'Hara, David Stiers, Jerry Orbach, Jeff Bennett, Jim Cummings United States In three short stories, see Belle make a gloomy castle fit for a princess.",Modern,3,6
s671,Movie,Beauty and the Beast: The Enchanted Christmas,Andy Knight,"Paige O'Hara, Robby Benson, Jerry Orbach, David Stiers, Bernadette Peters, Tim Curry","Canada, United States",2019-11-12,1997,G,73 min,"Animation, Family, Fantasy",Former composer Forte threatens to keep Belle and Beast apart forever.,2019,11,73,,24,Legacy,Kids,22,671,"Animation, Family, Fantasy Andy Knight Paige O'Hara, Robby Benson, Jerry Orbach, David Stiers, Bernadette Peters, Tim Curry Canada, United States Former composer Forte threatens to keep Belle and Beast apart forever.",Modern,3,6
s672,Movie,Beezy Bear,Jack Hannah,,United States,2019-11-12,1955,TV-G,7 min,"Animation, Comedy, Family",Donald tries to catch the bear that is stealing his honey. See details for advisory.,2019,11,7,,66,Legacy,Family,64,672,"Animation, Comedy, Family Jack Hannah  United States Donald tries to catch the bear that is stealing his honey. See details for advisory.",Classic,3,1
s673,Movie,Before the Flood,Fisher Stevens,"Leonardo DiCaprio, John Kerry, Barack Obama, Bill Clinton",United States,2019-11-12,2016,TV-14,96 min,Documentary,Leonardo DiCaprio searches for answers on the issue of climate change.,2019,11,96,,5,Recent,Adult,3,673,"Documentary Fisher Stevens Leonardo DiCaprio, John Kerry, Barack Obama, Bill Clinton United States Leonardo DiCaprio searches for answers on the issue of climate change.",Recent,1,4
s674,Movie,Benji the Hunted,Joe Camp,"Red Steagall, Frank Inn, Nancy Francis, Mike Francis, Joe Camp, Steve Zanolini",United States,2019-11-12,1987,G,89 min,"Action-Adventure, Animals & Nature, Family",Benji must navigate the wilderness while caring for orphaned cougar cubs.,2019,11,89,,34,Legacy,Kids,32,674,"Action-Adventure, Animals & Nature, Family Joe Camp Red Steagall, Frank Inn, Nancy Francis, Mike Francis, Joe Camp, Steve Zanolini United States Benji must navigate the wilderness while caring for orphaned cougar cubs.",Classic,3,6
s675,TV Show,Best Friends Whenever,,"Lauren Taylor, Shelby Bender, Gus Kamp, Ricky Garcia, Benjamin Royer, Matthew Royer",United States,2019-11-12,2015,TV-G,2 Seasons,"Buddy, Comedy, Coming of Age",Best friends gain the ability to travel through time!,2019,11,,2 Seasons,6,Recent,Family,4,675,"Buddy, Comedy, Coming of Age  Lauren Taylor, Shelby Bender, Gus Kamp, Ricky Garcia, Benjamin Royer, Matthew Royer United States Best friends gain the ability to travel through time!",Recent,3,6
s676,TV Show,Big City Greens (Shorts),,,,2019-11-12,2017,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",Head to the big city with the Green family!,2019,11,,,4,Recent,Kids,2,676,"Action-Adventure, Animation, Comedy    Head to the big city with the Green family!",Recent,3,1
s677,Movie,Big Hero 6,"Don Hall, Chris Williams","Scott Adsit, Ryan Potter, Daniel Henney, T. J. Miller, Jamie Chung, Damon Wayans Jr.",United States,2019-11-12,2014,PG,105 min,"Action-Adventure, Animation, Family",A boy genius and his robot team up to save their city.,2019,11,105,,7,Recent,Family,5,677,"Action-Adventure, Animation, Family Don Hall, Chris Williams Scott Adsit, Ryan Potter, Daniel Henney, T. J. Miller, Jamie Chung, Damon Wayans Jr. United States A boy genius and his robot team up to save their city.",Recent,3,6
s678,TV Show,Big Hero 6 The Series (Shorts),,,,2019-11-12,2017,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",The team introduces Baymax to everyday activities.,2019,11,,2 Seasons,4,Recent,Kids,2,678,"Action-Adventure, Animation, Comedy    The team introduces Baymax to everyday activities.",Recent,3,1
s679,Movie,Bizarre Dinosaurs,Jenny Kubo,Peter Cullen,United States,2019-11-12,2009,TV-PG,46 min,"Animals & Nature, Documentary, Family","Which dinosaurs were the strangest of the strange, and how did they get that way?",2019,11,46,,12,Legacy,Teen,10,679,"Animals & Nature, Documentary, Family Jenny Kubo Peter Cullen United States Which dinosaurs were the strangest of the strange, and how did they get that way?",Modern,3,1
s680,Movie,Blank Check,Rupert Wainwright,"Brian Bonsall, Karen Duffy, Miguel Ferrer, James Rebhorn, Tone Lōc, Jayne Atkinson",United States,2019-11-12,1994,PG,94 min,"Comedy, Family","An 11-year-old cashes a blank check for a million bucks, with wild results.",2019,11,94,,27,Legacy,Family,25,680,"Comedy, Family Rupert Wainwright Brian Bonsall, Karen Duffy, Miguel Ferrer, James Rebhorn, Tone Lōc, Jayne Atkinson United States An 11-year-old cashes a blank check for a million bucks, with wild results.",Modern,2,6
s681,Movie,Boat Builders,Ben Sharpsteen,,United States,2019-11-12,1938,TV-G,8 min,"Animation, Comedy, Family",Mickey and friends build a boat but it falls apart when christened. See details for advisory.,2019,11,8,,83,Legacy,Family,81,681,"Animation, Comedy, Family Ben Sharpsteen  United States Mickey and friends build a boat but it falls apart when christened. See details for advisory.",Classic,3,1
s682,Movie,Bolt,"Chris Williams, Byron Howard","John Travolta, Miley Cyrus, Susie Essman, Mark Walton, Malcolm McDowell, James Lipton",United States,2019-11-12,2008,PG,98 min,"Action-Adventure, Animation, Comedy",Hollywood's smallest star embarks on a paws-itively awesome adventure!,2019,11,98,,13,Legacy,Family,11,682,"Action-Adventure, Animation, Comedy Chris Williams, Byron Howard John Travolta, Miley Cyrus, Susie Essman, Mark Walton, Malcolm McDowell, James Lipton United States Hollywood's smallest star embarks on a paws-itively awesome adventure!",Modern,3,6
s683,Movie,Bone Bandit,Charles Nichols,,United States,2019-11-12,1948,TV-G,7 min,"Animation, Comedy, Family",Pluto's efforts to dig up a bone are frustrated by his allergy. See details for advisory.,2019,11,7,,73,Legacy,Family,71,683,"Animation, Comedy, Family Charles Nichols  United States Pluto's efforts to dig up a bone are frustrated by his allergy. See details for advisory.",Classic,3,1
s684,TV Show,Bonkers,,"Charlie Adler, Corey Burton, Jesse Corti, Jim Cummings, Frank Welker, Gregg Berger","United States, Hong Kong, South Korea, France, Canada, China, United Kingdom, Australia, Japan, Taiwan, Philippines",2019-11-12,1993,TV-G,1 Season,"Animation, Comedy, Kids",A washed-up cartoon star begins a new life as the first toon cop in Hollywood.,2019,11,,,28,Legacy,Family,26,684,"Animation, Comedy, Kids  Charlie Adler, Corey Burton, Jesse Corti, Jim Cummings, Frank Welker, Gregg Berger United States, Hong Kong, South Korea, France, Canada, China, United Kingdom, Australia, Japan, Taiwan, Philippines A washed-up cartoon star begins a new life as the first toon cop in Hollywood.",Modern,3,6
